Generation,Number
1,545000
2,545000
3,545000
4,545000
5,545000
6,545000
7,545000
8,545000
9,545000
10,545000
11,545000
12,545000
13,545000
14,545000
15,545000
16,545000
17,545000
18,545000
19,545000
20,545000
21,545000
22,545000
23,545000
24,545000
25,545000
26,545000
27,545000
28,545000
29,545000
30,545000
31,545000
32,545000
33,545000
34,545000
35,545000
36,545000
37,545000
38,545000
39,545000
40,545000
41,545000
42,545000
43,545000
44,545000
45,545000
46,545000
47,545000
48,545000
49,545000
50,545000
51,545000
52,545000
53,545000
54,545000
55,545000
56,545000
57,545000
58,545000
59,545000
60,545000
61,545000
62,545000
63,545000
64,545000
65,545000
66,545000
67,545000
68,545000
69,545000
70,545000
71,545000
72,545000
73,545000
74,545000
75,545000
76,545000
77,545000
78,545000
79,545000
80,545000
81,545000
82,545000
83,545000
84,545000
85,545000
86,545000
87,545000
88,545000
89,545000
90,545000
91,545000
92,545000
93,545000
94,545000
95,545000
96,545000
97,545000
98,545000
99,545000
100,545000
101,545000
102,545000
103,545000
104,545000
105,545000
106,545000
107,545000
108,545000
109,545000
110,545000
111,545000
112,545000
113,545000
114,545000
115,545000
116,545000
117,545000
118,545000
119,545000
120,545000
121,545000
122,545000
123,545000
124,545000
125,545000
126,545000
127,545000
128,545000
129,545000
130,545000
131,545000
132,545000
133,545000
134,545000
135,545000
136,545000
137,545000
138,545000
139,545000
140,545000
141,545000
142,545000
143,545000
144,545000
145,545000
146,545000
147,545000
148,545000
149,545000
150,545000
151,545000
152,545000
153,545000
154,545000
155,545000
156,545000
157,545000
158,545000
159,545000
160,545000
161,545000
162,545000
163,545000
164,545000
165,545000
166,545000
167,545000
168,545000
169,545000
170,545000
171,545000
172,545000
173,545000
174,545000
175,545000
176,545000
177,545000
178,545000
179,545000
180,545000
181,545000
182,545000
183,545000
184,545000
185,545000
186,545000
187,545000
188,545000
189,545000
190,545000
191,545000
192,545000
193,545000
194,545000
195,545000
196,545000
197,545000
198,545000
199,545000
200,545000
201,545000
202,545000
203,545000
204,545000
205,545000
206,545000
207,545000
208,545000
209,545000
210,545000
211,545000
212,545000
213,545000
214,545000
215,545000
216,545000
217,545000
218,545000
219,545000
220,545000
221,545000
222,545000
223,545000
224,545000
225,545000
226,545000
227,545000
228,545000
229,545000
230,545000
231,545000
232,545000
233,545000
234,545000
235,545000
236,545000
237,545000
238,545000
239,545000
240,545000
241,545000
242,545000
243,545000
244,545000
245,545000
246,545000
247,545000
248,545000
249,545000
250,545000
251,545000
252,545000
253,545000
254,545000
255,545000
256,545000
257,545000
258,545000
259,545000
260,545000
261,545000
262,545000
263,545000
264,545000
265,545000
266,545000
267,545000
268,545000
269,545000
270,545000
271,545000
272,545000
273,545000
274,545000
275,545000
276,545000
277,545000
278,545000
279,545000
280,545000
281,545000
282,545000
283,545000
284,545000
285,545000
286,545000
287,545000
288,545000
289,545000
290,545000
291,545000
292,545000
293,545000
294,545000
295,545000
296,545000
297,545000
298,545000
299,545000
300,545000
301,545000
302,545000
303,545000
304,545000
305,545000
306,545000
307,545000
308,545000
309,545000
310,545000
311,545000
312,545000
313,545000
314,545000
315,545000
316,545000
317,545000
318,545000
319,545000
320,545000
321,545000
322,545000
323,545000
324,545000
325,545000
326,545000
327,545000
328,545000
329,545000
330,545000
331,545000
332,545000
333,545000
334,545000
335,545000
336,545000
337,545000
338,545000
339,545000
340,545000
341,545000
342,545000
343,545000
344,545000
345,545000
346,545000
347,545000
348,545000
349,545000
350,545000
351,545000
352,545000
353,545000
354,545000
355,545000
356,545000
357,545000
358,545000
359,545000
360,545000
361,545000
362,545000
363,545000
364,545000
365,545000
366,545000
367,545000
368,545000
369,545000
370,545000
371,545000
372,545000
373,545000
374,545000
375,545000
376,545000
377,545000
378,545000
379,545000
380,545000
381,545000
382,545000
383,545000
384,545000
385,545000
386,545000
387,545000
388,545000
389,545000
390,545000
391,545000
392,545000
393,545000
394,545000
395,545000
396,545000
397,545000
398,545000
399,545000
400,545000
401,545000
402,545000
403,545000
404,545000
405,545000
406,545000
407,545000
408,545000
409,545000
410,545000
411,545000
412,545000
413,545000
414,545000
415,545000
416,545000
417,545000
418,545000
419,545000
420,545000
421,545000
422,545000
423,545000
424,545000
425,545000
426,545000
427,545000
428,545000
429,545000
430,545000
431,545000
432,545000
433,545000
434,545000
435,545000
436,545000
437,545000
438,545000
439,545000
440,545000
441,545000
442,545000
443,545000
444,545000
445,545000
446,545000
447,545000
448,545000
449,545000
450,545000
451,545000
452,545000
453,545000
454,545000
455,545000
456,545000
457,545000
458,545000
459,545000
460,545000
461,545000
462,545000
463,545000
464,545000
465,545000
466,545000
467,545000
468,545000
469,545000
470,545000
471,545000
472,545000
473,545000
474,545000
475,545000
476,545000
477,545000
478,545000
479,545000
480,545000
481,545000
482,545000
483,545000
484,545000
485,545000
486,545000
487,545000
488,545000
489,545000
490,545000
491,545000
492,545000
493,545000
494,545000
495,545000
496,545000
497,545000
498,545000
499,545000
500,545000
501,545000
502,545000
503,545000
504,545000
505,545000
506,545000
507,545000
508,545000
509,545000
510,545000
511,545000
512,545000
513,545000
514,545000
515,545000
516,545000
517,545000
518,545000
519,545000
520,545000
521,545000
522,545000
523,545000
524,545000
525,545000
526,545000
527,545000
528,545000
529,545000
530,545000
531,545000
532,545000
533,545000
534,545000
535,545000
536,545000
537,545000
538,545000
539,545000
540,545000
541,545000
542,545000
543,545000
544,545000
545,545000
546,545000
547,545000
548,545000
549,545000
550,545000
551,545000
552,545000
553,545000
554,545000
555,545000
556,545000
557,545000
558,545000
559,545000
560,545000
561,545000
562,545000
563,545000
564,545000
565,545000
566,545000
567,545000
568,545000
569,545000
570,545000
571,545000
572,545000
573,545000
574,545000
575,545000
576,545000
577,545000
578,545000
579,545000
580,545000
581,545000
582,545000
583,545000
584,545000
585,545000
586,545000
587,545000
588,545000
589,545000
590,545000
591,545000
592,545000
593,545000
594,545000
595,545000
596,545000
597,545000
598,545000
599,545000
600,545000
601,545000
602,545000
603,545000
604,545000
605,545000
606,545000
607,545000
608,545000
609,545000
610,545000
611,545000
612,545000
613,545000
614,545000
615,545000
616,545000
617,545000
618,545000
619,545000
620,545000
621,545000
622,545000
623,545000
624,545000
625,545000
626,545000
627,545000
628,545000
629,545000
630,545000
631,545000
632,545000
633,545000
634,545000
635,545000
636,545000
637,545000
638,545000
639,545000
640,545000
641,545000
642,545000
643,545000
644,545000
645,545000
646,545000
647,545000
648,545000
649,545000
650,545000
651,545000
652,545000
653,545000
654,545000
655,545000
656,545000
657,545000
658,545000
659,545000
660,545000
661,545000
662,545000
663,545000
664,545000
665,545000
666,545000
667,545000
668,545000
669,545000
670,545000
671,545000
672,545000
673,545000
674,545000
675,545000
676,545000
677,545000
678,545000
679,545000
680,545000
681,545000
682,545000
683,545000
684,545000
685,545000
686,545000
687,545000
688,545000
689,545000
690,545000
691,545000
692,545000
693,545000
694,545000
695,545000
696,545000
697,545000
698,545000
699,545000
700,545000
701,545000
702,545000
703,545000
704,545000
705,545000
706,545000
707,545000
708,545000
709,545000
710,545000
711,545000
712,545000
713,545000
714,545000
715,545000
716,545000
717,545000
718,545000
719,545000
720,545000
721,545000
722,545000
723,545000
724,545000
725,545000
726,545000
727,545000
728,545000
729,545000
730,545000
731,545000
732,545000
733,545000
734,545000
735,545000
736,545000
737,545000
738,545000
739,545000
740,545000
741,545000
742,545000
743,545000
744,545000
745,545000
746,545000
747,545000
748,545000
749,545000
750,545000
751,545000
752,545000
753,545000
754,545000
755,545000
756,545000
757,545000
758,545000
759,545000
760,545000
761,545000
762,545000
763,545000
764,545000
765,545000
766,545000
767,545000
768,545000
769,545000
770,545000
771,545000
772,545000
773,545000
774,545000
775,545000
776,545000
777,545000
778,545000
779,545000
780,545000
781,545000
782,545000
783,545000
784,545000
785,545000
786,545000
787,545000
788,545000
789,545000
790,545000
791,545000
792,545000
793,545000
794,545000
795,545000
796,545000
797,545000
798,545000
799,545000
800,545000
801,545000
802,545000
803,545000
804,545000
805,545000
806,545000
807,545000
808,545000
809,545000
810,545000
811,545000
812,545000
813,545000
814,545000
815,545000
816,545000
817,545000
818,545000
819,545000
820,545000
821,545000
822,545000
823,545000
824,545000
825,545000
826,545000
827,545000
828,545000
829,545000
830,545000
831,545000
832,545000
833,545000
834,545000
835,545000
836,545000
837,545000
838,545000
839,545000
840,545000
841,545000
842,545000
843,545000
844,545000
845,545000
846,545000
847,545000
848,545000
849,545000
850,545000
851,545000
852,545000
853,545000
854,545000
855,545000
856,545000
857,545000
858,545000
859,545000
860,545000
861,545000
862,545000
863,545000
864,545000
865,545000
866,545000
867,545000
868,545000
869,545000
870,545000
871,545000
872,545000
873,545000
874,545000
875,545000
876,545000
877,545000
878,545000
879,545000
880,545000
881,545000
882,545000
883,545000
884,545000
885,545000
886,545000
887,545000
888,545000
889,545000
890,545000
891,545000
892,545000
893,545000
894,545000
895,545000
896,545000
897,545000
898,545000
899,545000
900,545000
901,545000
902,545000
903,545000
904,545000
905,545000
906,545000
907,545000
908,545000
909,545000
910,545000
911,545000
912,545000
913,545000
914,545000
915,545000
916,545000
917,545000
918,545000
919,545000
920,545000
921,545000
922,545000
923,545000
924,545000
925,545000
926,545000
927,545000
928,545000
929,545000
930,545000
931,545000
932,545000
933,545000
934,545000
935,545000
936,545000
937,545000
938,545000
939,545000
940,545000
941,545000
942,545000
943,545000
944,545000
945,545000
946,545000
947,545000
948,545000
949,545000
950,545000
951,545000
952,545000
953,545000
954,545000
955,545000
956,545000
957,545000
958,545000
959,545000
960,545000
961,545000
962,545000
963,545000
964,545000
965,545000
966,545000
967,545000
968,545000
969,545000
970,545000
971,545000
972,545000
973,545000
974,545000
975,545000
976,545000
977,545000
978,545000
979,545000
980,545000
981,545000
982,545000
983,545000
984,545000
985,545000
986,545000
987,545000
988,545000
989,545000
990,545000
991,545000
992,545000
993,545000
994,545000
995,545000
996,545000
997,545000
998,545000
999,545000
1000,545000
